artist,like,play,skip,engagement_rate,skip_rate
Sitoonce,4,1,2,4.0,2.0
BOARCROK,3,1,0,3.0,0.0
Big Ali,3,0,0,3.0,0.0
Club 97,2,0,0,2.0,0.0
Kitten & The Hip,2,1,0,2.0,0.0
Kid Tarô,4,2,2,2.0,1.0
Liam Davison,2,1,0,2.0,0.0
Starsailor,2,1,2,2.0,2.0
Beltek,2,1,0,2.0,0.0
Snacks,4,2,2,2.0,1.0
B-MEN,2,1,2,2.0,2.0
Shrimpnose,2,1,2,2.0,2.0
Casper Cole,2,1,1,2.0,1.0
Fake Mood,2,1,2,2.0,2.0
Andrew Gialanella,2,1,0,2.0,0.0
Capo,2,1,0,2.0,0.0
Corbin Bleu,2,1,1,2.0,1.0
yu-re:meu,2,1,2,2.0,2.0
Secondcity,5,3,1,1.6666666666666667,0.3333333333333333
Autograf,5,3,0,1.6666666666666667,0.0
DeathbyRomy,3,2,0,1.5,0.0
Keith Urban,3,2,0,1.5,0.0
ÊMIA,3,2,1,1.5,0.5
Rich Delinquent,3,2,3,1.5,1.5
Ugly Kid Joe,3,2,1,1.5,0.5
Hil Holla,3,2,0,1.5,0.0
Giselle Torres,3,2,0,1.5,0.0
Cape Cub,4,3,0,1.3333333333333333,0.0
Nico & Vinz,5,4,0,1.25,0.0
Kobra And The Lotus,1,1,0,1.0,0.0
All Them Witches,2,2,1,1.0,0.5
Nguvo,2,2,0,1.0,0.0
Phil Oakey,2,2,0,1.0,0.0
Ed Whicher,1,1,0,1.0,0.0
JDR,3,3,1,1.0,0.3333333333333333
Little River Band,1,1,1,1.0,1.0
Rapper School,2,2,1,1.0,0.5
Eve To Adam,3,3,1,1.0,0.3333333333333333
Reinier Zonneveld,3,3,1,1.0,0.3333333333333333
Iron & Wine,3,3,1,1.0,0.3333333333333333
The Able Bodies,3,3,0,1.0,0.0
Yaeji,2,2,5,1.0,2.5
Anita Baker,2,2,0,1.0,0.0
Danko Jones,2,2,1,1.0,0.5
Kojo Funds,3,3,2,1.0,0.6666666666666666
Dastic,4,4,1,1.0,0.25
Xinister,1,1,2,1.0,2.0
Micast,4,4,1,1.0,0.25
Clarv,3,3,1,1.0,0.3333333333333333
TQ,2,2,1,1.0,0.5
Leo Salom,3,3,0,1.0,0.0
Wolves By Night,2,2,1,1.0,0.5
Sye Elaine Spence,3,3,0,1.0,0.0
Dragon,1,1,0,1.0,0.0
KINGDØMS,2,2,0,1.0,0.0
Xavi The Destroyer,1,1,3,1.0,3.0
