date,total_plays
2026-05-24,2073
2026-05-25,6363
2026-05-26,6548
2026-05-27,6471
2026-05-28,6400
2026-05-29,6385
2026-05-30,6420
2026-05-31,6469
2026-06-01,6483
2026-06-02,6334
2026-06-03,6524
2026-06-04,6447
2026-06-05,6478
2026-06-06,6406
2026-06-07,6320
2026-06-08,6319
2026-06-09,6444
2026-06-10,6345
2026-06-11,6444
2026-06-12,6485
2026-06-13,6585
2026-06-14,6569
2026-06-15,6383
2026-06-16,6592
2026-06-17,6475
2026-06-18,6406
2026-06-19,6456
2026-06-20,6430
2026-06-21,6439
2026-06-22,6511
2026-06-23,6518
2026-06-24,4391
