artist,total_plays
Queen,939
Martin Garrix,648
Don Omar,612
David Guetta,562
Logic,490
Drake,483
Dimitri Vegas & Like Mike,464
The Chainsmokers,461
Hardwell,458
Guns N' Roses,428
Daddy Yankee,391
The Weeknd,382
2Pac,368
Wisin & Yandel,365
Major Lazer,364
Calvin Harris,350
R3HAB,350
Tiësto,338
The Cranberries,336
50 Cent,333
Avicii,324
Eminem,319
Rick Ross,319
Gloria Estefan,310
The Game,309
Maroon 5,308
Steve Aoki,307
Kygo,306
Armin van Buuren,304
Ballin Entertainment,301
Ariana Grande,298
J Balvin,296
Bobby Brown,293
Javiera Mena,292
Rihanna,279
オメガトライブ,277
Katy Perry,276
The Rolling Stones,266
Coldplay,261
Scorpions,258
The Notorious B.I.G.,253
Janet Jackson,252
Miguel Rios,252
John Legend,250
Ozuna,249
Cypress Hill,249
OutKast,247
Sam Feldt,247
Bad Bunny,242
DJ Snake,241
Zedd,231
Creedence Clearwater Revival,230
Tyga,227
Ed Sheeran,225
Depeche Mode,224
Aerosmith,222
Alan Walker,221
Lil Wayne,221
Nicky Jam,219
Lynyrd Skynyrd,219
Future,216
Jelly Roll,210
Imagine Dragons,210
T.I.,210
The Who,209
Janelle Monáe,208
KSHMR,208
Ghostemane,207
Afrojack,205
Van Halen,204
Guy,201
Bassjackers,198
Khalid,195
Galantis,192
W&W,192
Deorro,192
Jonas Blue,191
Nicky Romero,191
Erykah Badu,191
Blasterjaxx,190
Geto Boys,189
Duki,188
Post Malone,188
Scarface,187
Pitbull,186
Fleetwood Mac,184
Def Leppard,183
Upchurch,182
Tom Misch,182
J Alvarez,182
Snoop Dogg,182
Billie Eilish,181
Cartel De Santa,181
$uicideBoy$,180
Farruko,180
Five Finger Death Punch,178
You Me At Six,176
D'Angelo,176
U2,176
DVBBS,175
Sia,173
Frank Ocean,173
Marshmello,172
Ludacris,172
KISS,170
David Bowie,169
Bon Jovi,169
Mötley Crüe,168
Muse,167
Selena Gomez,166
Sick Individuals,166
The Smiths,165
Taylor Swift,164
Led Zeppelin,164
Maxwell,163
Keith Sweat,161
Ice Cube,158
Lady Gaga,156
Lost Frequencies,155
TLC,155
BONES,153
UGK,152
Paul McCartney,151
Demi Lovato,150
Arcangel,150
Anderson .Paak,150
Boyz II Men,150
Jodeci,150
Young Thug,150
Ellie Goulding,148
Alesso,148
N.W.A.,148
Robin Schulz,147
SWV,147
Jill Scott,147
Kanye West,147
P!nk,147
Musiq Soulchild,145
Rob Stepwart,145
Soda Stereo,145
Olexesh,145
6LACK,144
Cash Cash,143
Elton John,143
Caifanes,143
Kendrick Lamar,142
Wiz Khalifa,142
Jennifer Lopez,142
Michael Jackson,141
Tujamo,141
CASIOPEA,141
Foo Fighters,139
Kali Uchis,138
OneRepublic,137
Wu-Tang Clan,137
Ozzy Osbourne,136
Bruno Mars,135
Shakira,135
Usher,135
Semser,134
Heavy D & The Boyz,134
Blackstreet,133
John Lennon,133
Shawn Mendes,132
DMX,132
Bell Biv DeVoe,131
Beyoncé,131
Dr. Dre,130
India.Arie,130
Linkin Park,130
Daniel Caesar,130
Capital Kings,129
Carlos Vives,129
Nas,128
Billy Joel,128
George Harrison,128
Jorja Smith,128
Lauv,127
The Cure,127
Charlie Puth,127
JAY-Z,126
Tom Petty and the Heartbreakers,125
Master P,125
Clean Bandit,124
Whitesnake,124
Childish Gambino,124
Lost Kings,123
The Allman Brothers Band,123
Jessie J,123
Luis Fonsi,122
DJ Khaled,122
Justin Bieber,122
Alexis y Fido,122
G-Eazy,122
Showtek,122
ONE OK ROCK,122
Babyface,121
Juan Magán,119
Quintino,119
TENDER,118
Gryffin,117
All Time Low,117
Juvenile,117
Tony! Toni! Toné!,117
Basta,117
Thomas Gold,117
Journey,117
blink-182,117
New Order,116
The Beatles,116
Borgeous,116
Paulo Londra,115
Aaliyah,114
Three Days Grace,114
Black Sabbath,113
Jason Derulo,113
DubVision,113
Becky G,113
Campsite Dream,112
Big K.R.I.T.,112
ZZ Top,112
Control Machete,112
Foreigner,112
R. Kelly,112
Cheat Codes,112
Brasstracks,112
Alessia Cara,112
Nelly,112
Halsey,111
Ms. Lauryn Hill,110
Tritonal,110
Tetengo,110
Three 6 Mafia,109
Miley Cyrus,109
New Edition,109
Don Diablo,109
Ted Nugent,109
Sidhu Moose Wala,109
Laidback Luke,108
Adele,108
G-Unit,108
The Police,108
Zara Larsson,108
Juanes,108
Sam Smith,108
Plan B,107
Metallica,107
Jimi Hendrix,107
BROCKHAMPTON,106
Ja Rule,106
Camila Cabello,106
Dua Lipa,106
Ralph Tresvant,106
Orchestral Manoeuvres In The Dark,105
Judas Priest,105
The Black Eyed Peas,105
Pastor Troy,105
Radiohead,105
Maluma,105
Alice Cooper,105
Sean Paul,105
BANKS,105
Dru Hill,104
Sigala,104
ILLENIUM,104
Chris Brown,104
Gucci Mane,104
Anuel AA,104
Reik,103
AC/DC,103
Whitney Houston,102
Night Tempo,102
Alex Rose,101
Red Hot Chili Peppers,101
CNCO,100
Amy Winehouse,100
Pink Floyd,100
Rush,99
Kaskade,99
YG,99
KAYTRANADA,99
Rauw Alejandro,98
Thin Lizzy,98
A$AP Rocky,98
Mac Miller,98
Migos,97
5 Seconds of Summer,96
Seether,96
Tony Dize,96
LANY,96
Nirvana,95
Dire Straits,95
Disturbed,95
Blue Öyster Cult,95
Eric Clapton,95
Prince,94
Ginuwine,94
The Doors,94
Bruce Springsteen,94
Troye Sivan,94
Pickin' On Series,94
Deitrick Haddon,94
Juice WRLD,93
The Band,93
Michael Learns To Rock,93
Heart,93
Deep Purple,93
Enrique Iglesias,92
Trippie Redd,92
Jeezy,92
Breaking Benjamin,91
Tom Petty,91
gizmo,91
James Arthur,91
Ari Lennox,91
Firebeatz,91
Alok,90
Travis Scott,90
Tones and I,90
Flo Rida,89
StaFFord63,89
NLE Choppa,89
Joe,89
Flume,89
Mary J. Blige,89
Khea,89
Deep Chills,88
Kings of Leon,88
One Direction,88
Vicetone,88
GAWVI,87
Kiyotaka Sugiyama,87
Myke Towers,87
Mustard,87
Pete Rock & C.L. Smooth,87
Jay Hardway,86
CAZZETTE,86
Capital Bra,86
Sander van Doorn,86
Papa Roach,86
"Tyler, The Creator",86
Ummet Ozcan,86
Ysy A,86
En Vogue,85
Brandy,85
Justin Timberlake,84
Parov Stelar,84
KAAZE,83
Lil Tecca,83
Color Me Badd,83
R.K.M & Ken-Y,83
MOTi,82
Meek Mill,82
SZA,82
GASHI,82
Fall Out Boy,82
Zero Theorem,82
AK Ausserkontrolle,82
blackbear,82
Alicia Keys,81
Chino & Nacho,81
Party Favor,81
Juan Luis Guerra 4.40,81
Jordan Rakei,81
Rex Orange County,81
Wun Two,81
Westside Connection,80
Mariah Carey,80
Dillon Francis,80
John De Sohn,80
Meghan Trainor,80
Nicki Minaj,80
Claptone,80
Syn Cole,80
Night Lovell,79
Stormzy,79
LL Cool J,79
TV Noise,79
Johnny Gill,79
Sech,79
Timmy Trumpet,79
The Internet,79
Fat Pat,79
GoldLink,79
Ledisi,79
Tevin Campbell,78
Big Sean,78
Marc Anthony,78
Lucky Luke,78
Lisa McClendon,78
Klaas,78
Delinquent Habits,78
Sean Price,77
Julian Jordan,77
The Cars,77
2 Chainz,77
H.E.R.,77
Romeo Santos,77
Chris Goldarg,77
BTS,77
Karyn White,77
Nacho,76
Eazy-E,76
Weezer,76
ZAYN,76
Mœnia,76
Kid Cudi,76
Kaspiyskiy Gruz,76
Toni Braxton,76
Akwid,76
Dorothy,75
LOOPERS,75
Anthony Hamilton,75
Brytiago,75
Portrait,75
Kungs,75
ScHoolboy Q,75
Hogland,75
Raheem DeVaughn,75
J. Cole,75
Funky,74
Wahlstedt,74
Mike Posner,74
A Boogie Wit da Hoodie,74
Quentyn,74
ODESZA,74
Panic! At The Disco,74
French Montana,74
Lucas & Steve,74
Tego Calderon,74
Agnes Obel,74
Macross 82-99,73
Mako,73
Sean C. Johnson,73
Ava Max,73
Daft Punk,73
Sebastian Yatra,73
Astrid S,72
Kendra Morris,72
Morrissey,72
Donell Jones,72
Kesha,72
Survivor,72
The Killers,71
Troop,71
Rod Stewart,71
Duran Duran,71
ROSALÍA,71
The Strokes,71
The 1975,71
Charli XCX,70
Korn,70
Various Artists,70
Green Day,70
Zhané,70
Genairo Nvilla,70
Boston,70
Robin Thicke,70
Loud Luxury,70
Mayday Parade,69
Of Monsters and Men,69
The Offspring,69
Godsmack,69
Swedish House Mafia,69
Dalex,69
Styx,69
Angie Stone,69
Oasis,69
6ix9ine,68
Electric Light Orchestra,68
Lane 8,68
UFO,68
Tove Lo,68
Reykon,68
Hailee Steinfeld,68
Loyle Carner,68
Dannic,68
18 Karat,67
Ivy Queen,67
The Black Keys,67
Akon,67
Case,67
Felix Jaehn,67
Bhavi,67
Why Don't We,67
Lewis Capaldi,67
Mike Williams,66
Mary Mary,66
Bastille,66
Seven Lions,66
XXXTENTACION,66
Dyro,66
1986 Omega Tribe,66
Sandro Silva,66
Y.V.E. 48,66
"Tito ""El Bambino""",66
Diddy,65
Billy Idol,65
Shai,65
A R I Z O N A,65
Ty Dolla $ign,65
The Band CAMINO,65
Yung Bae,65
Junko Ohashi,65
Summer Walker,65
3 Doors Down,64
Lenny Kravitz,64
21 Savage,64
Iron Maiden,64
Green Tea,64
La Coka Nostra,64
Trick Daddy,64
Yellow Claw,63
Zion & Lennox,63
Poison,63
John Dahlbäck,63
Pearl Jam,63
Dio,63
Cheap Trick,63
Iggy Pop,63
KAROL G,62
Rels B,62
Solange,62
The Him,62
Martin Jensen,62
Maná,62
Cardi B,62
Bizarrap,62
Axwell /\ Ingrosso,62
DIVINE,62
Headhunterz,61
Warren G,61
Ñejo & Dalmata,61
Klingande,61
Cosculluela,61
Quality Control,61
Arctic Monkeys,61
DJ Quik,61
Lucas Estrada,61
Lil Nas X,61
Garmiani,61
Free,61
Dash Berlin,61
Bad Company,61
Father MC,60
Piso 21,60
Goodie Mob,60
Al B. Sure!,60
Jhené Aiko,60
Eagles,60
Gzuz,60
Thirty Seconds To Mars,60
YNW Melly,60
TREN LOKOTE,60
Tame Impala,60
Zion,60
Nurminsky,60
Steve Miller Band,60
Julian Calor,60
Desiigner,60
Tory Lanez,60
Mike Bahía,60
N1NT3ND0,60
Motörhead,60
Belanova,60
Bone Thugs-N-Harmony,60
Pete Kingsman,59
Jamaika,59
Mike Perry,59
alt-J,59
Sum 41,59
Doja Cat,59
Lunay,59
Club Nouveau,59
Audien,59
Faith Evans,59
Guustavv,59
Jotdog,59
Paperwhite,59
8Ball & MJG,59
Bingo Players,58
T-SQUARE,58
Martin Numan,58
Van Morrison,58
Lil Uzi Vert,58
Kelly Clarkson,58
Jax Jones,58
Rae Sremmurd,58
Killstation,58
LemKuuja,58
Two Feet,58
benny blanco,58
Danny Boone,58
Shinedown,58
REO Speedwagon,58
WALK THE MOON,58
Aaron Hall,58
Wisin,57
Harry Styles,57
Teyana Taylor,57
John Mayer,57
FKJ,57
Steely Dan,57
Dragon & Caballero,57
Recayd Mob,57
Mark Ronson,57
Good Times Ahead,57
Big L,57
Britney Spears,57
3LAU,57
Olly James,56
Smallpools,56
Sidoka,56
Quiet Riot,56
CamelPhat,56
America,56
Lana Del Rey,56
Morbo,56
The Knocks,56
Swanky Tunes,56
Great Good Fine Ok,56
Joy Division,56
Yves V,56
The White Stripes,56
Macklemore & Ryan Lewis,56
Fonseca,55
Triomphe,55
JP Cooper,55
Dennis DJ,55
Jazzinuf,55
Ying Yang Twins,55
Gui Brazil,55
Sade,55
Jungle,55
Brian McKnight,55
Azet,55
Raphael Saadiq,55
ARTY,55
SiR,55
Nidža Bleja,55
Ne-Yo,55
San Holo,54
Mau y Ricky,54
Thousand Foot Krutch,54
Angel Y Khriz,54
Simple Minds,54
Joey Montana,54
Ñejo,54
"Héctor ""El Father""",54
Demun Jones,54
Tasha Cobbs Leonard,54
Eric Benét,54
Little Mix,54
Rudimental,54
The Kinks,54
Gente De Zona,54
Will Sparks,53
Fanny Lu,53
Sinead Harnett,53
The Psychedelic Furs,53
Jonas Brothers,53
Frenna,53
Hillsong Young & Free,53
Jenil,53
Lil Baby,53
NLSN,53
Skrillex,53
Chivv,53
Selena Gomez & The Scene,53
DNCE,53
Matoma,53
Travel With The Sun,53
Sleeping With Sirens,53
Miguel,52
Stevie Wonder,52
Daryl Hall & John Oates,52
Diplo,52
Duke Dumont,52
The Doobie Brothers,52
Bebe Rexha,52
Matroda,52
MAX,52
Bacilos,52
Prabh Deep,52
Disclosure,52
Yandel,52
Natti Natasha,52
Jobii,52
joan,52
DEAMN,51
A$AP Ferg,51
Incubus,51
8Ball,51
Pegboard Nerds,51
Tucka,51
Kollegah,51
N.V.,51
Rainbow,51
112,51
K-391,51
dvsn,51
TooManyLeftHands,51
Żabson,51
Method Man,51
Next,51
Daya,51
Bakermat,51
Panama Wedding,51
Derek & The Dominos,51
Neil Young,51
Silkk The Shocker,51
Rise Against,51
Gaullin,51
Broederliefde,51
Pasabordo,51
Dynoro,50
The Friday Night Boys,50
Naeleck,50
Steppenwolf,50
The Kooks,50
Pekeño 77,50
Manuel Turizo,50
Arizona Zervas,50
Comethazine,50
David Bisbal,50
Sa4,50
Prince Royce,50
TWO LANES,50
Mint Condition,50
Debra Killings,50
Terror Jr,50
Madiel Lara,50
Kurupt,50
Ultimo,50
RL Grime,50
Otsochodzi,50
Montell Jordan,50
The Audition,50
Rage Against The Machine,50
Nick Jonas,50
Status Quo,50
Blondie,50
Rapsody,50
Malik Montana,50
D12,49
Liam Payne,49
Lonely in the Rain,49
Unaverage Gang,49
Gary Moore,49
Sweet,49
TOTO,49
TJR,49
Chelsea Cutler,49
Rhye,49
Wreckx-N-Effect,49
MØ,49
Minty Burns,49
Cat Dealers,49
Hansie,49
twoloud,49
Destiny's Child,48
Helion,48
Mike WiLL Made-It,48
Whethan,48
Tymek,48
Lucky Daye,48
Wale,48
Cuebrick,48
Gregor Salto,48
Zoé,48
Mr. Probz,48
Apollo LTD,48
Lil Mosey,48
Carly Rae Jepsen,48
Dwele,48
The Psycho Realm,48
Tinashe,48
Gamora,48
Halestorm,48
Lil Jon,47
Daemus Moon,47
Ricky Martin,47
Pet Shop Boys,47
Equalz,47
Kevin Roldan,47
Bazzi,47
Lil Jon & The East Side Boyz,47
Young Igi,47
Jaheim,47
Luny Tunes,47
Bryan Adams,47
Ekali,47
Eddie Money,47
NAEMS,47
The Deele,47
Wolfgang Lohr,47
Dirty South,47
Capital Cities,47
Hannah Montana,47
Reyer,46
Montrose,46
After 7,46
The Pharcyde,46
