music_id,title,total_plays
225xvV8r1yKMHErSWivnow,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",22
5ihS6UUlyQAfmp48eSkxuQ,Landslide,19
5e50NiIlOc2YJIftHzoehd,MALA SANTA,19
3VeuvRWfJLSOzeVPrgi5MR,Night Drive,18
41KAWBH3Tzn2R2VsVIJQnO,Precious,18
06TuMCjDEYjTOJScCRzmjf,Don't Let Go (Love),18
2AY0DkXUfA4Q7YQJtEryJN,Painting Pictures,18
79MV5abwiCZqbJKMd0zZUC,L.Q.M.E,18
7p4tetW3qNwSCz92PLGJg5,Obsessed,18
2N0rHlYG5N4fN9HnVis9yj,Old Fashioned,18
4TkXg2v2OeFBaJLXz1MNFd,Novocaine,17
6vit6hVkFt5cf3eWTG2oDC,I'm Not Over (Radio Edit) [feat. Tash],17
3X8h15qxmiBYhueBNsafGd,Ecstacy,17
4zvHX7fRYpva5QO4cV27yl,UGH!,17
6xjmujeAeuBznFjdKhZQNY,The Other Side,17
6Yy9Kw5fmv5mrniagxVagb,By My Side,17
7HQXmaJZclCLRlB2pCcUB5,Weapon of Choice - Chores & Terace Remix,17
5XMQVjropZM9sjmxCo2UnR,Necesito Cambiar,17
5PycBIeabfvX3n9ILG7Vrv,Propuesta Indecente,17
2yvQ3Dz7nXZLXxhQhDvhog,Snitchfoot,17
3nCFiwtuVqVJmnSasApvr3,Salgo Pa' la Calle,17
5oBzet0pFpm9tEz5pUmdK1,Chandelier (feat. Lauriana Mae),17
04Uz6OywoKTsVETCQ9vAP9,YEBISU - Yung Bae Edit,17
4RG27Wgxju2byhrb51krk6,Cambiarás,17
4fb7LB7OOaKcahftS4k9lD,Take Me,17
3hk7R2aaNlFhhepP7CsfvO,Poza Kontrolą,17
0BkvZes677Mcp5WVUQjRxD,ZEZE (feat. Travis Scott & Offset),16
3QgbEaUUK0sQsDzpqsS1No,Stay Up,16
7ADbma50v1csIQh2BLRBB4,Tsunami - Blasterjaxx Edit,16
3yTR8aMxpwaPLEsjHmowEw,Beat Goes Down,16
4dYLOPfFc3mAErEJwr2Oo2,After Midnight,16
5pjIGLFgIuuuJGrohSDNRs,Джип,16
4NmKZBGuNIvNcuaPfu9SU9,Felicidad,16
2WwXhtq2knsErc7ojO0Dgb,My Life,16
1qjrYozGqc7upUgfN776lZ,Sara Smile,16
6iSTWxErxiep4YiYjXGmSo,Want,16
6F3zAaf1DY7akff9JQ8pMb,Patointeligencja,16
2BWXfyYzeLcK0pbvPp9Itw,Richer Than Ever,16
5Jjuv7uNuTbgzj8dl6DeXG,Sugar Don't Be Sweet,16
07Agqdd4SD83JRgN19OjdW,Magenta (prod. Auer),16
43eEoYZerwCiHaZiMbE02d,Saiko,16
0cgRDeRDPNrfRifO8WHit8,drugs,16
392fx2nlTxr8VrMUU9ybqi,Píntame,16
2R1YVHhJV6c1Vw4pdLW3oF,I Want Love,16
2vMeBPjULSBy2kY2f9ocAj,Distance,16
2ruLk85iMXVqD06ccKvefd,Moving On,16
2OHm2DXoXyzbpdUPjvU52p,Believe - Radio Edit,16
0u9c0SWTzvru9vX8IAE6Jv,Naufragio,16
2tNmhDlMbwQZLxQtWMt2EU,Gravel Pit,16
